imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.006099522113800049, -0.0022864341735839844, -0.006087316364290475, -4.661757893223375e-10, 7.579911228844673e-06, -6.150148402083434e-05, 1.5558390495930387e-05, 0.0, 1731537407.505148, 
-0.004670619964599609, 0.0031678080558776855, -0.004676240867215612, -1.2051814492737804e-10, 2.908127626425476e-06, -4.144183488617995e-05, 1.6661508378384493e-05, -3.0659029147186835e-12, 1731537407.5454838, 
-0.01783221960067749, 0.015363574028015137, -0.017780011766887024, -2.2591277965702972e-10, 4.367149843481383e-06, -5.173002707339473e-05, 1.714215868543131e-05, -7.48145832653926e-12, 1731537407.5961232, 
0.010726511478424072, -0.006306648254394531, 0.01061339134499888, 7.234474152465688e-11, -2.085132049404922e-06, -3.469552037861882e-05, 1.8280165249413394e-05, -2.2675427952186376e-11, 1731537407.6443985, 
-0.007502257823944092, -0.006583213806152344, -0.007430370835915516, -4.430521564436216e-10, 1.017580363661233e-05, -4.353977063219875e-05, 1.7656555215842724e-05, -1.112980287269978e-11, 1731537407.7545629, 
-0.0009603500366210938, 0.002454400062561035, -0.0009860237419742216, 1.7014118119874089e-07, 0.0001490110530892443, 0.0011418024207899005, 1.9024451960592354e-05, -4.121793358780493e-11, 1731537407.8044658, 
-0.13387656211853027, 0.23543882369995117, -0.13334919565140754, 0.000643719848590461, 0.009368781338386586, 0.06870902640029133, 3.76588948032256e-05, -5.218747803575685e-10, 1731537407.8354006, 
0.2917667627334595, -0.07964450120925903, 0.2900798241892736, 0.03734222426645225, 0.03183298576093274, 1.1730346282086506, 0.000988732602646721, 1.1068624148668469e-07, 1731537407.9954338, 
0.21208661794662476, -0.4425661563873291, 0.2123957118717908, -0.20613210875301374, -0.1966123601142264, 1.0402809582418775, 0.004069379083665057, 2.299059702065961e-05, 1731537408.094267, 
-0.2566390037536621, -0.14008480310440063, -0.25477753639843675, -0.05454303048152984, -0.055743500815198216, 0.9529938816118745, -0.015571271005902557, -0.0024385158354466915, 1731537408.1857252, 
-0.4981487989425659, -0.03662288188934326, -0.4971828741309161, 0.013205913719908143, 0.012025979626683706, 1.0409776186754718, -0.02112414402865358, -0.003730897081300837, 1731537408.3053825, 
-0.48010462522506714, -0.020537853240966797, -0.4801723099780687, 0.01793407322637871, 0.016560914960017863, 0.9851967827061567, -0.019911184161356593, -0.0033235354313452137, 1731537408.3961442, 
