e, e_dot, e_int, stamp, 
-2.3561950493901294, 0.0, -0.0, 1731538630508235503, 
-2.3561950493901294, 0.0, -0.0, 1731538630508235503, 
-2.3561950493901294, 0.0, -0.0, 1731538630508235503, 
-2.356194006153294, 3.4774561171365312e-06, -0.6133945119114488, 1731538630768568196, 
-2.356373170330272, -0.0005937364671426693, -0.7071563835531759, 1731538630808354404, 
-2.354020240736139, 0.007245884723851385, -0.21425899644491733, 1731538630859528224, 
-2.335044316759755, 0.07109617856838983, -0.23463618302387934, 1731538630908264243, 
-2.3000193538575915, 0.1800029562618244, -0.2313783265388295, 1731538630958845243, 
-2.208430589415878, 0.4220457578129233, -0.801557559834574, 1731538631259645071, 
-2.095727529614347, 0.680972747477481, -0.8803390299103345, 1731538631358746230, 
-2.095727529614347, 0.3756768660051035, -0.21141202841604792, 1731538631358746230, 
-2.0310827036806405, 0.21548275311235562, -0.4351177916404367, 1731538631568524527, 
-1.938057477760922, 0.5255668395114169, -0.6060140652080784, 1731538631658512405, 
-1.8416762058020946, 0.6313549929284864, -0.3684133556252048, 1731538631758728449, 
-1.7459662814953978, 0.6403039875517477, -0.38789457624426116, 1731538631869107214, 
-1.6482909019499898, 0.6446176795070158, -0.3662941103350724, 1731538631968601694, 
-1.5683536323033045, 0.5920421639736443, -0.31331205676171286, 1731538632058510777, 
-1.487626084975898, 0.5355493899136395, -0.21902144246670416, 1731538632108275701, 
-1.4254371336511602, 0.47638832884048093, -0.3136625439823691, 1731538632268486252, 
-1.3473494227773195, 0.4675888739952616, -0.36958291771871826, 1731538632368520153, 
-1.3065521306538486, 0.39628334332437215, -0.25981771374924245, 1731538632459559659, 
-1.2717299201813461, 0.2520650086532446, -0.24952715620134747, 1731538632559210867, 
-1.239456003137787, 0.22365375838687176, -0.26642173326657437, 1731538632668915353, 
-1.2047419285612986, 0.22329330540015846, -0.25934769104198707, 1731538632768591432, 
-1.1694066875299673, 0.23349771869273228, -0.2309293027433275, 1731538632860631930, 
-1.1465474429936409, 0.19398161855885906, -0.22322928297718295, 1731538632958806048, 
-1.1243685619880524, 0.15012708513971665, -0.21735295018363865, 1731538633050166142, 
-1.0953484514404603, 0.17066330517726844, -0.23557797304956643, 1731538633168752096, 
-1.066210577148484, 0.19385994946522786, -0.22935632411093682, 1731538633259564844, 
-1.041118620249179, 0.18076610397093815, -0.20291399822812511, 1731538633358824923, 
-1.014302802278521, 0.17302591623321004, -0.1971609077436439, 1731538633449043528, 
-0.983137533964157, 0.1932702876167395, -0.2134728281315506, 1731538633569588806, 
-0.9563029825282323, 0.19333273250096225, -0.20626502955566067, 1731538633658538742, 
-0.9287892461384784, 0.18116095941892896, -0.19121866186462774, 1731538633769592304, 
-0.9032089059416255, 0.17698025528868935, -0.1781047676446346, 1731538633850165929, 
-0.8785088457904413, 0.16760133449345682, -0.17975855901842666, 1731538633968549797, 
-0.8524633434708586, 0.16915187490255632, -0.18300325413791013, 1731538634058583552, 
-0.826371457382006, 0.1737912946947843, -0.16205015231308642, 1731538634158649574, 
-0.7979625458572754, 0.18166932537861058, -0.1570776571756468, 1731538634248842546, 
-0.7722936802955558, 0.1802592569548341, -0.16866256378276662, 1731538634369774437, 
-0.746265728652213, 0.1723227240168749, -0.16221559733576485, 1731538634458919032, 
-0.7235860923408857, 0.16235862651556707, -0.1409297789522199, 1731538634558339067, 
-0.6973503233689251, 0.16305135094429288, -0.13772651330941504, 1731538634649570163, 
-0.669248587535785, 0.1811250160170023, -0.14659381535336116, 1731538634768742187, 
-0.6464794557181346, 0.1695695588359684, -0.14040221845374865, 1731538634858805264, 
-0.6249723458799927, 0.14758747218597415, -0.12265807828472897, 1731538634958351174, 
-0.6084651490418658, 0.12671435558756272, -0.1312447269029281, 1731538635068247591, 
-0.5850267560253277, 0.1331519661822167, -0.12841606782995252, 1731538635170204777, 
-0.5589195084153227, 0.16515213542181031, -0.08259517520644775, 1731538635209644482, 
-0.5362905137665273, 0.1624541408626682, -0.11163897587401002, 1731538635369531998, 
-0.5194454591140252, 0.13158016433765832, -0.1393487664610242, 1731538635468551911, 
