imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.042798006060876845, -0.01312893392938936, -0.021399003030438422, -0.0, 6.545170444201245e-05, 3.0140511190765615e-07, 0.0, 0.0, builtin_interfaces.msg.Time(sec=9, nanosec=44000000), 
-0.03789078489975685, 0.00434358230722548, -0.03127382428665309, -2.83144164810537e-10, -0.0008816447596835151, -3.311988958735204e-07, 5.716483388518143e-05, 0.0, builtin_interfaces.msg.Time(sec=9, nanosec=112000000), 
-0.08377907427275738, -0.04696632303926, -0.06352824700427373, -7.973713117369473e-08, -0.0019862903650339457, 2.525301514385661e-05, 0.00013015517632868106, -2.798897069841877e-11, builtin_interfaces.msg.Time(sec=9, nanosec=214000000), 
1.204391320141869, -0.028763684723847906, 0.7200190843582662, -0.0017297396451674246, 0.0545556990064875, -0.042082005110936065, 0.0017089871950798233, 1.7866888106620077e-07, builtin_interfaces.msg.Time(sec=9, nanosec=316000000), 
6.9226811789789675, 0.039377286918777676, 4.551430184254091, -0.03153866270374788, 0.220967934993378, -0.04739429454837665, 0.0030957177309017337, -1.2477218772984892e-05, builtin_interfaces.msg.Time(sec=9, nanosec=418000000), 
6.789279870790366, -0.029096308426448683, 5.929358668288055, -0.06742448308825323, 0.4517709726365408, -0.04251385190025559, 0.007877815611730773, -8.303986587346986e-05, builtin_interfaces.msg.Time(sec=9, nanosec=520000000), 
0.010949521676353793, -0.10033025713777492, 2.2668950892137403, -0.03576870311617542, 0.5694766020511142, -0.045084768540925656, 0.03382837707376889, -0.0004080183081216583, builtin_interfaces.msg.Time(sec=9, nanosec=622000000), 
0.013253914212842798, -0.43219296936122065, 0.8709951261116631, -0.03348322500819017, 0.5606921000352602, -0.36505444636241163, 0.08012509142997885, -0.0016863232156802512, builtin_interfaces.msg.Time(sec=9, nanosec=724000000), 
0.020463737700542946, -0.4720896078186311, 0.34420080032623585, -0.03359464970559116, 0.5456726611810611, -0.789113591467693, 0.1314644470240873, -0.0043857543632946075, builtin_interfaces.msg.Time(sec=9, nanosec=826000000), 
0.09604493778437724, -0.5182012338067329, 0.19063361968791903, -0.0359263642709634, 0.5204943401251088, -0.9854245649367676, 0.1831621719464561, -0.009797340845347243, builtin_interfaces.msg.Time(sec=9, nanosec=928000000), 
0.11447317458390013, -0.5674237726300367, 0.14280880816020183, -0.04319884204000647, 0.4966157153477861, -1.160394841611955, 0.23345940720838587, -0.019602612481735556, builtin_interfaces.msg.Time(sec=10, nanosec=30000000), 
0.08519822811069723, -0.589340357253729, 0.1069592184535593, -0.04732135043028959, 0.4695006511889985, -1.2920008669571705, 0.2819495077758781, -0.03452516789354615, builtin_interfaces.msg.Time(sec=10, nanosec=98000000), 
0.06825804600425059, -0.8967308371994032, 0.08271611908175563, -0.05092829316451869, 0.43514022349053244, -1.4110141111389782, 0.3280834501974197, -0.055170091320786464, builtin_interfaces.msg.Time(sec=10, nanosec=200000000), 
0.12713058381062506, -0.5706761491221632, 0.09950749141936431, -0.08255683059689006, 0.39175424815305027, -1.4028874632168447, 0.3708864070580694, -0.08159067263367313, builtin_interfaces.msg.Time(sec=10, nanosec=302000000), 
0.15166405502978747, -0.5277195225400124, 0.11430195599852473, -0.1245346845671749, 0.34508754291430155, -1.3138015331397503, 0.4094584276708875, -0.11353259120159911, builtin_interfaces.msg.Time(sec=10, nanosec=404000000), 
